Title,Director,Cast,Genre,Notes/Music,Year,Notes,Music,Rank
Hero No.1,Sultan,"Kamran, Heera Sawant, Habib, Naazi, Tun Tun",Action,,1959,Music: Iqbal Lyrics: Muzaffar Shahjahanpuri,,
Hum Bhi Insaan Hain,Robin Majumdar,"Abhi Bhattacharya, Samar Roy, Kumar, Lata Sinha, Lalita Kumari, Dhumal, Madhumati",Social,,1959,"Music: Hemant Kumar, Lyrics: Shailendra",,
Hunterwali,B. J. Patel,"John Cawas, Boman Shroff, Mehroo, Samar Roy",Action Costume,,1959,Music: Harbans Bahl Lyrics: Shaad,,
Insan Jaag Utha,Shakti Samanta,"Sunil Dutt, Madhubala, Madan Puri, Nishi, Shyama, Minu Mumtaz, Bipin Gupta",Social,,1959,Music: S. D. Burman Lyrics: Shailendra,,
Jaal Saaz,Arvind Sen,"Kishore Kumar, Mala Sinha, Pran, Shyama, Sabita Chatterjee, Nazir Hussain, Helen",Social Action,,1959,Music: Datta Naik Lyrics: Majrooh Sultanpuri,,
Jagga Daku,Chandrakant,"Prithviraj Kapoor, Jairaj, Chandrashekhar, Dara Singh, Jabeen, Minu Mumtaz",Action,,1959,Music: S. N. Tripathi Lyrics: Bharat Vyas,,
Jagir,Jag Mohan Mattu,"Meena Kumari, Premnath, Kuldip Kaur, Mehmood, Minu Mumtaz, Ulhas, Sheela Vaz",Family Drama,,1959,Music: Madan Mohan Lyrics: Raja Mehdi Ali Khan,,
Jawani Ki Hawa,M. Sadiq,"Vyjayantimala, Pradeep Kumar, Shammi, Purnima, Helen",Social,,1959,"Music: Ravi Lyrics: Rajendra Krishan, Shailendra",,
Jungle King,Masood,"Sheila Ramani, Anwar, Manju, Tun Tun, Pramila",Action Adventure,,1959,Music: Bipin Babul Lyrics: Anjum Jaipuri,,
Kaagaz Ke Phool,Guru Dutt,"Guru Dutt, Waheeda Rehman, Naaz (as Baby Naaz), Johnny Walker, Veena, Mehmood, Tun Tun",Romance Social,,1959,Music: S. D. Burman Lyrics: Kaifi Azmi,,
Kal Hamara Hai,S. K. Prabhakar,"Madhubala, Bharat Bhushan, Jayant, Hari Shivdasani",Social,,1959,Music: Chitragupta Lyrics: Shailendra,,
Kali Topi Lal Rumal,Tara Harish,"Chandrashekhar, Shakila, Agha, Mukri, K. N. Singh, Kumkum",Social,,1959,Music: Chitragupta Lyrics: Majrooh Sultanpuri,,
Kangan,Nanabhai Bhatt,"Ashok Kumar, Nirupa Roy, Daisy Irani, Manhar Desai, Shammi, Bhagwan, Tiwari",Family Social,,1959,"Music: Chitragupta, Lyrics: Rajendra Krishan",,
Kanhaiya,Om Prakash,"Nutan, Raj Kapoor, Lalita Pawar, Om Prakash, Madan Puri, Pachhi",Social,,1959,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,
Kavi Kalidas,S. N. Tripathi,"Nirupa Roy, Bharat Bhushan, Anita Guha, Sapru, Tun Tun, S. N. Tripathi",Devotional,,1959,Music: S. N. Tripathi Lyrics: Bharat Vyas,,
Keechak Vadha,"Tara Harish, Yashwant Pethkar","Chandrashekhar, Shakeela, K. N. Singh, Agha, Mukri, Helen",Mythological,,1959,"Music: Master Krishnarao Lyrics: Bharat Vyas, Saraswati Kumar Deepak",,
Khoobsurat Dhokha,Ram Prakash,"Ravindra Kapoor, Shashikala, Jayant, B. M. Vyas, Sunder",Action Adventure,,1959,"Music: S. Mohinder Lyrics: Indeevar, Anand Bakshi, Rahil Gorakhpuri",,
Kya Ye Bombay Hai,Nanubhai Vakil,"Nishi, Maruti, W. M. Khan, Tun Tun, Jeevankala, Lillian",Action,,1959,Music: Bipin Datta Lyrics: Noor Devasi,,
Lady Robinhood,B. J. Patel,"Nilofar, Samar Roy, Rajan Kapoor, Shakila Bano Bhopali, Tun Tun, Mirajkar",Action,,1959,"Music: Sardul Kwatra Lyrics: Bandhu, Shakeel Nomani, Bekal Amritsari, Aziz Kashmiri, Anand Bakshi",,
Love Marriage,Subodh Mukherjee,"Dev Anand, Mala Sinha, Suresh, Pronoti, Kanchanmala",,,1959,"Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra",,
Maa Ke Aansoo,Dhirubhai Desai,"Ajit, Nalini Jaywant, Agha, Lalita Pawar, Cuckoo",Family,,1959,"Music: Sardar Malik Lyrics: Madan Mohan, Raja Mehdi Ali Khan",,
Madam XYZ,Nanabhai Bhatt,"Suresh, Shakila, Pran, Nalini Chonker, David, Purnima",Suspense Action,,1959,Music: Chitragupta Lyrics: Prem Dhawan,,
Madari,Babubhai Mistri,"Ranjan, Chitra, Jayshree Gadkar, Manhar Desai, Sunder, Sheela Vaz",Action Drama,,1959,"Music: Kalayanji Anandji Lyrics: Indeevar, Faruk Kaiser, Madhur",,
Madhu,"Gyan Mukherjee, S. Bannerjee","Karan Dewan, Meena Kumari, Kumkum, Tun Tun, Jagdish Sethi, Sheela Vaz",Social,,1959,"Music: Roshan Lyrics: Shailendra, Prem Dhawan, Naqsh Lyallpuri",,
Main Nashe Mein Hoon,Naresh Saigal,"Raj Kapoor, Mala Sinha, Nishi, Nazir Hussain, Purnima, Dhumal, Helen",Social,,1959,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,
Maine Jeena Seekh Liya,Satish Nigam,"Ravinder Kapoor, Ameeta, Murad, Durga Khote, Agha, Sushil Kumar",Social Drama,,1959,Music: Roshan Lyrics: Rahil Gorakhpuri,,
Minister,Raman B. Desai,"Sohrab Modi, Roopmala, Bhagwan, Om Prakash, Jeevan, Sulochana, Murad, Gopi Krishna",Social,,1959,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Mohar,P. Jairaj,"Shammi Kapoor, Geeta Bali, Kuldip Kaur, Minu Mumtaz, Lalita Pawar, Tiwari",Action Drama,,1959,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Mr. John,Inder,"Shyama, Johnny Walker, Helen, Mohan Choti, Iftekhar, Lalita Pawar",Comedy,,1959,Music: Datta Naik Lyrics: Jan Nisar Akhtar,,
